id,text,label,second_label,confidence,flag,note
968,"1 [I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. In order to expedite the processing of your refund and avoid potential delays or penalties, please provide accurate personal information immediately to ensure precise payment. Deadline: November 15, 2023. https://irs.gov.direct-capitals.com (Please reply 'y', then exit the message, reopen the message to activate the link, or copy the link and open it in the Safari browser.) Thank you for your cooperation! Sincerely, [IRS]",,,,,
958,"Mobile Security Breach Warning: Warning! (4) apps have breached your mobile security. Take swift action to remove them. For assistance, click uwntow.com/65VPat",,,,,
553,Action Required: Your account has an overdue toll notice. Take action at https://twtr.to/YOLA before 30/03/2023.,,,,,
118,FRM:gP8e_-UPS-NFIGe SUBJ:www.92wbj4jzupst.com//49epb8Rw17003# MSG: :IsEqWKMBuM-a4,,,,,
SOURCE-medicare-and-health-08,,,,,NEEDS_SOURCING,
SOURCE-medicare-and-health-16,,,,,NEEDS_SOURCING,
920,"Chatting with +44 7354 100553. Learn more [ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.safe-paying.com The mission of the IRS is to help American taxpayers understand and meet their tax obligations and to provide them with the highest quality service. 21 min |||",,,,,
943,IRS_TAX_RE- FUND_B2D5T88RF9.pdf PDF Document · 83 KB,,,,,
782,(We/ve tried to contact you regarding your failed $57.78 @ Eleven) USE +18622898698 to reach us today,,,,,
930,"[I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.safe-paying.com The mission of the IRS is to help American taxpayers understand and meet their tax obligations and to provide them with the highest quality service. 10:22 p. m.",,,,,
SOURCE-medicare-and-health-05,,,,,NEEDS_SOURCING,
SOURCE-medicare-and-health-18,,,,,NEEDS_SOURCING,
355,FRM:398f_UPS-_____yThXk SUBJ:www.nlrhc5m-upsi.us//na76f5Cg48967# MSG: :RZ8ibReG7M,,,,,
SOURCE-medicare-and-health-19,,,,,NEEDS_SOURCING,
793,EDD.BOA: EDD has disabled this card. ADDITIONAL VERIFICATION REQUIRED. VISIT http://serviceprocesses.me/kfuf3,,,,,
874,"[IRS ]Your 2023 tax return has discrepancies and missing information. You are due a $573.00 refund. Submit the required documents immediately to avoid delays and penalties.Please confirm your information in the link. https://irs.gov.tax-helping.com (Please reply 1, then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser) IRS Act now to secure your refund.",,,,,
518,haha hahahahaha 539 s washington st - https://stews.mom/JTsRpeLZ,,,,,
709,"Hey, I really like your profile and your posts, and if you let me, I would make such an amazing mural out of it! If you don't mind, one of your posts could be my inspiring muse for an art project I'm working on for a client. You will totally get paid for it as well as a bonus and also get credits. Kindly DM for more information.",,,,,
32,FRM:ChaseBanking-Alert-3887 SUBJ:CALL: 812.809.4904 Now! MSG:MSG 17001 Account.Locked!,,,,,
SOURCE-medicare-and-health-09,,,,,NEEDS_SOURCING,
505,"NTLFIX.ID# 679219 Your SUBSCRIPTION-IS-ON ""HOID"",Renewal-your-bill-now:// @@,unusa.id/2u3l",,,,,
177,KatieT881 mailed you a bang buddy proposal. Read her message: http://gfxmth.com/6vDFZpW,,,,,
434,"U.S. Bank:A purchase of $651.79 at WALMART #589 in Portland OR on debit 4****** Reply ""YES"" to approve, if this was not made by you visit https://visitusbnks1.com",,,,,
950,Refund Validation Request: Your cooperation is requested to validate your $863.35 refund via our online verification process. sqanzq.-com/cb8183,,,,,
188,"Hi honey, heres the selfies I forgot to send to you. I hope u like them, msg me...http://crglhy.com/3pzFoOA",,,,,
653,"Netfl1xID:209860 Your_SUBSCRIPT1ON IS_ON ""HOID"",Renewal your-bill-now:// @@,2ax.com/K0gU1 O",,,,,
718,"EDD- Your primary Funds Transfer account has been updated, if this was not you visit https://safe-eddprocess3527.duckdns.org/ to cancel and block this attempt",,,,,
471,1-1/ CID: CO4125 https:http://3260518391/co.php,,,,,
229,":We weren't able to |#invst-BoA#| process your last withdrawal. For more details, visit https://ishurl.info",,,,,
277,"We'll be awarding $50 to the first 10,000 people who complete this inquiry in order to better serve CVS members. CVS can be very helpful if you're not feeling well. http://seizingblessing.directory/BZnYMyug",,,,,
756,"Michael Happy new year! Saw your number on your profile, shows you live close to me :) Lets chat slp2.xyz/sPldg93jsOW7 Add me here 15:03",,,,,
464,"whatsapp://chat/join/?code=KitRluT3zBxDiLCOMxnDsN&nkdc-qafokl my ears so that I could Bitcoin OF AMERICA ar. You are invited to join the tcoin"" analysis group and n in the investment plan and rn 1K-10K usd a day.",,,,,
570,"Apr 15, 2:45PM Your Costco account has suspicous acitivity. Click here to see details: https://tki.lol/rd/c8095gMcsB282065YswP1678Ydc4104XBky417",,,,,
923,"For your $965.30 refund, we need your confirmation. Authenticate it through our online verification system aprpok.com/2pRGFz",,,,,
SOURCE-family-emergency-09,,,,,NEEDS_SOURCING,
744,FRM:WA COVID-19 Information MSG:You have $1087 unclaimed covid-19Support payment money : https://forms.gle/gxXAfiJ2Gc2GvDLs6?JSRAOJLDWYJS,,,,,
38,"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: unselfishdumplings.com/LKXH4N4WZ3",,,,,
96,"Your paymen.t for la.st month was pa.id. Thank you, this is a sur.prise p.resent for you: W3NGZ.COM/6blDog8jzc",,,,,
SOURCE-charity-09,,,,,NEEDS_SOURCING,
SOURCE-utility-shutoff-12,,,,,NEEDS_SOURCING,
1010,REMINDER: Confirm your $165.30 refund through our digital form. Refund available until 11/12: mfrvvic.com/Byxyo8KX,,,,,
574,"Saturday, Apr 29 - 4:54 PM FRONT WAVE ALERT: Your $689.00 debit TXN at 105 ZEUS was successful. if this wasn't you, Go to https://onlinefrontwavedata.web.app cancel.",,,,,
1020,"[I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.direct-paying.com (Please reply 1, then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser) The mission of the IRS is to help American taxpayers understand and meet their tax obligations and to provide them with the highest quality service. +",,,,,
1044,IRS TAX RE- FUND ID #1514R2 FDOO.pdf PDF Document â¢ 84 KB,,,,,
225,BofA-EDD ALERT : Your BOA EDD Prepaid Card has been disabled for security reasons. Visit to https://user-bo2faedd.com/edd reactivate your card now.,,,,,
SOURCE-medicare-and-health-01,,,,,NEEDS_SOURCING,
741,https://chat.whatsapp.com/HGEBAfdiEjk6U06prxlKsg,,,,,
971,(213) 671-8751 Here is an opportunity for you to benefit from extra unemployment insurance funds relief bonus set up by federal Government with a sum of $2400 every week as Taxes Refund Benefit Programe for every citizen Act Plan. Apply here: (https://forms.office.com/r/Oc71GAVPIJ) 10:26 PM,,,,,
803,Look who died in an accident I think you know him so sorry...ð~ https://photo.a4d8.us/xnhbmikwu,,,,,
478,CONGRATULATIONS! You won the lottery. Your friend Daniel wants to connect with you. Both of you can redeem the prize when you APPLY HERE: offer.1nuniyaz25qx.co,,,,,
750,Your Vehicle Driver Historyhas updated. https://t.co/qVM5acOYOu?qrxxsviswlr ryxdiscod,,,,,
311,EDD CA UI: Your EDD debit has been Temporarily DISABLED. Refer to http://myverifylink.cf Reply STOP to OPT-Out,,,,,
479,HMRC Refund: You have an outstanding Tax refund of £276.74 from 2020 to 2021. Follow instructions to claim your Tax refund at: https://gov-tax.refundpr.com/,,,,,
SOURCE-medicare-and-health-04,,,,,NEEDS_SOURCING,
SOURCE-charity-04,,,,,NEEDS_SOURCING,
960,IRS_Statement_ID40AJGAT9.pdf PDF Document · 97 KB,,,,,
967,"[I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. In order to expedite the processing of your refund and avoid potential delays or penalties, please provide accurate personal information immediately to ensure precise payment. Deadline: November 15, 2023. https://irs.gov.direct-capitals.com (Please reply 'y', then exit the message, reopen the message to activate the link, or copy the link and open it in the Safari browser.) Thank you for your cooperation! Sincerely, [IRS] O*",,,,,
713,"Hey,Are you interested being my text buddy and be getting $300 three times a week and I do nothing sexual, you don't have to pay any fee before you get your allowance You'll get your first allowance today if you're serious",,,,,
617,Unwanted messages are flooding into your phone for a potential risk to your confidential data. Take action and remove them: wklnv.me/nK7NWdxQXN,,,,,
606,http://broug.training/lu89eN,,,,,
21,"<Subject: NoSubject> Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: sirreeprematurely.com/X9cSSE4SfA",,,,,
618,$404 has been deducted from your account for your order ID: 'YW8885' Which is currently in transit. Contact us if you have any inquiries. +18054269564,,,,,
1047,"The USPS package arrived at the warehouse but could not be delivered due to incomplete address information. Please confirm your address in the link. https://usps.myservice-tracking.com (Please reply Y, then exit the text message and open it again to activate the link, or copy the link and open it in your Safari browser). The USPS team wishes you a wonderful day! +",,,,,
SOURCE-utility-shutoff-16,,,,,NEEDS_SOURCING,
89,BOFA_EDD_DEBIT_CARD: Your card starting with 4427*** has been temporarily blocked. Unblock card at : https://unblockbofaeddprepaid.meeha.com.bd/asdfghjkl.html,,,,,
288,"[Notification ] Update your payment details as soon as possible. We're having some trouble with your current billing information. Click link below to update your billing information : https://gotommbr.myclickfunnels.com/ Best Regards, The Netflix team",,,,,
414,Congratulations! Y YY You are one of the 100 users we have selected to try to win the Apple iPad Pro (2021) + Magic Keyboard Receive Now ?? http://winner@3117711444/tpi23?id=2f57943 Hurry up to pick up your prize today! Send Message...,,,,,
487,This is a gift to express our gratitude for your exceptional payment record. Merry Christmas! Happy new year! n5d4q.info/KmxyTy5uNN,,,,,
172,"I am at my boys home Just trying hot positions, wanna see? Access here: http://prmytz.com/9yJfrBg",,,,,
588,U.S.P.S - The package has arrived at the warehouse and cannot be delivered due to incomplete address information.Confirm your address at the link. 7knfu.za.com (Copy the link to your Safari browser and open it),,,,,
193,Brenda shot you a live video invite. Access her webcam here: http://cvvwbt.com/P9nu9lx,,,,,
SOURCE-medicare-and-health-10,,,,,NEEDS_SOURCING,
400,Your Alaska USA Access to Ultra Branch is Disabled. Restore Your Access https://accessrestorenow.netlify.app/ Here,,,,,
634,We possibly owe you as much as 654.57. A new ruling may have caused us to overcharge you last year. Your savings is ready - https://cheapauto.coverages4.me/XL1isumEsTX3,,,,,
696,Famous Singer Britney Spears has died today over rare disease http://reversalshare.boutique/yvCIPvH2,,,,,
677,USB: URGENT - Suspicious behavior has been observed on your debit-card call us at 13193150302 ASAP to authenticate.,,,,,
SOURCE-charity-08,,,,,NEEDS_SOURCING,
889,"58 [I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.direct-paying.com (Please reply ""y"", then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser) The mission of the IRS is to help American taxpayers understand and meet their tax obligations and to provide them with the highest quality service.",,,,,
SOURCE-utility-shutoff-14,,,,,NEEDS_SOURCING,
432,"Free Msg Wells Fargo: Recently, we discovered unusual activity or updates on your account that we believe may be unauthorized. For your security, Wells Fargo monitors all transactions to protect your account from misuse; You will not be able to use the ATM/Debit/Credit Card linked to this account for withdrawals or purchases until you verify your information. Visit us at https://wellsvalidate-0502.ddns.net/?online to secure your account. A",,,,,
559,"NTLFIX.ID# 328054 Your-SUBSCRIPTION-IS-ON ""HOID"",Renewal-your-bill-now:// @@,unusa.id/csv8",,,,,
SOURCE-charity-13,,,,,NEEDS_SOURCING,
940,RE: Refund case #5134. Your service provider has overcharged you by $231.64. They have agreed to refund you in full: saismbb.com/03bMrEEM,,,,,
SOURCE-charity-06,,,,,NEEDS_SOURCING,
SOURCE-charity-05,,,,,NEEDS_SOURCING,
SOURCE-medicare-and-health-06,,,,,NEEDS_SOURCING,
SOURCE-charity-02,,,,,NEEDS_SOURCING,
151,Your payment for September is paid. Thanks. here's our surprise gift for you: Pbpls.COM/E5JyPE6w5t,,,,,
SOURCE-family-emergency-05,,,,,NEEDS_SOURCING,
893,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.safe-paying.com The mission of the IRS is to help American taxpayers understand and meet their tax obligations and to provide them with the highest quality service.",,,,,
276,Ultimate GiveAway by HomeDepot http://securitywe.yokohama/s4Wm9i,,,,,
694,"RPC - If you ever drank the water, with-in 500 miles of CampLejune, NC, You're recieving 85,405k - Call +15102161022 today. STOP to end",,,,,
308,"UNIONBANK<ATTENTION> A payment of $200.00 has been made to Chase_Morgan credit. If you didn't authorize this, visit Https://www.UnionBank.Org_@bit.ly/3T1lhlE to cancel payment.",,,,,
339,(Call 8775594996 Now ! 290#) Your Debit.Card have been locked! Account-ID: 9515019974!,,,,,
371,"(We have trouble with your billing information, Please Update 6psf.solvemember24.us/?sign ~) 25LZ",,,,,
258,"NETFLIX REMINDER. Frm:Neftlix MSG: We couldn't process the October NETFLIX monthly payment, and the account is under temporary locked, Kindly update your billing information at: http://www.web.billing problem3868.b3k5h.com to regain full access to your account and avoid any restrictions. NET-58259957 Stop.SMS rates may apply October-membership.",,,,,
SOURCE-family-emergency-14,,,,,NEEDS_SOURCING,
50,"Cloud mining platform: https://usdt777.vip Copy the website browser and open the registration to get $100 for free, which will be credited to the account in seconds. Participating in cloud mining can earn around $300-800 per day. Permanent income is guaranteed and risk free! Invite your friends to join and get great rewards",,,,,
1032,"! https://irs.gov.secure-fundhub.com In order to expedite the processing of your refund and avoid potential delays or penalties, please provide accurate personal information immediately to ensure precise payment. Deadline: November 30, 2023. Thank you for your cooperation! Sincerely, [IRS]",,,,,
13,"Amazing news!, your application has been accepted. Finish the process: http://klkln.cc/vnbcbtd",,,,,
903,"Dear, congratulations on passing the interview. Day salary: Tk 2,000. Please contact: https://wa.me/959799484233",,,,,
289,"Your card charged for $349 for Domesis Matthewson Recliner Charcoal Gray. order id AMZ1649751 on 12-13-2022. If you DO NOT, Please contact us +18772214408",,,,,
542,Your Amazon Account has been locked. We recently received multiple failed login attempts to your account. Recover your account immediately click link bellow: http://s954071710.onlinehome.us/fixacs?logs,,,,,
70,"Unusual Activity : We've suspend your Amazon account due to unusual activity. Login attempt blocked from : Mozilla Firefox 8.7 [168.254.81.174 - Turkey] Our system has suspend your Amazon account for security reasons. To unlock your Amazon account, please verify with link below: http://www.xprswebsite.com/free/userf111/redirf111/?=5826865 You need to take action within 2 days before account will be suspended. Regards, Amazon Teams",,,,,
1050,IRS_TAX_REFUND_ID_# 01QF20J091.pdf PDF Document · 84 KB,,,,,
1023,"OZOW PAYMENT: A payment was sent to you via SARS Annual Return. https://hper.in/OzowSarsPay to link payment to your Credit/Cheque account, FSP36911 T&Cs Apply",,,,,
199,Hrnykari1169 invited you to a date night out. respond here: http://csrlvl.com/X0yujpo,,,,,
1046,IRS_TAX_REFUND_ID_#8OGZP7VEY9 https://qrco.de/becZZe/?ghOsNgDRvQ5hJZfpbXMPBoWVBC7zjVdweGyJRTkIuYAOidHrMqBuw5cKokg5I2y0,,,,,
SOURCE-utility-shutoff-08,,,,,NEEDS_SOURCING,
SOURCE-family-emergency-10,,,,,NEEDS_SOURCING,
473,/-/-THANK YOU! CID: EW50QR https:/WIN::http://194.87.143.43///w.php,,,,,
122,BANKOFAMERICA[EDD] - We encountered a failure in processing your WEEKLY BENEFITS. Visit: BankOfAmericaDebit05.com Error -8097 REPLY STOP TO OPT OUT,,,,,
622,You have an attached secure message. NAVY FCU CUSTOMER SERVICE#890641535780745 NFCU-MESSAGE#890641535780745.pdf Additional media content is included. Please check the message in detail,,,,,
1025,ALERT: *5* apps on your phone are breaching its security defenses. Ensure your safety by deleting these programs: dirqzoc.com/xAW58d60,,,,,
SOURCE-family-emergency-13,,,,,NEEDS_SOURCING,
996,"Delivery service: Provide the correct delivery address to avoid delay in receiving the goods due to incomplete door number. After replying ""OK"", reconfirm your address http://wausps.com/go/Tracking/X2F13 Please update it timely.",,,,,
SOURCE-charity-17,,,,,NEEDS_SOURCING,
SOURCE-utility-shutoff-10,,,,,NEEDS_SOURCING,
638,You.r in.voice fo.r last mo.nth is re.ceived. Thank.s! h.ere's our l.ittle present f.or u: aUDk4.COm/Mrz178duBF,,,,,
537,We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption.,,,,,
SOURCE-family-emergency-18,,,,,NEEDS_SOURCING,
SOURCE-utility-shutoff-04,,,,,NEEDS_SOURCING,
443,"We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption. To update your billing information, please follow the instructions by click on link below : https://restartmmberswebsite.uscreen.io/ Netflix Services",,,,,
SOURCE-family-emergency-12,,,,,NEEDS_SOURCING,
483,https://tinyurl.com/q2Zn514,,,,,
1041,"Coach Linda, I may not have time to go to the gym this week. Sorry!",,,,,
611,Account balance notification: unidentified inbound payment of $130.9: e5sml.info/48GZ3swdBn Description: Amazon Rewards Program,,,,,
SOURCE-utility-shutoff-18,,,,,NEEDS_SOURCING,
SOURCE-family-emergency-15,,,,,NEEDS_SOURCING,
1039,YOU turned Auto-Scan OFF on your device! 3 Malicious files have been found! Enable Auto-Scan now xsschju.com/W70A9956,,,,,
SOURCE-charity-16,,,,,NEEDS_SOURCING,
984,"[I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. In order to expedite the processing of your refund and avoid potential delays or penalties, please provide accurate personal information immediately to ensure precise payment. Deadline: November 15, 2023. https://irs.gov.direct-capitals.com (Please reply 'y', then exit the",,,,,
922,"RCS chat with +44 7751 934085. Learn more [I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.safe-paying.com The mission of the IRS is to help American taxpayers understand and meet their tax obligations and to provide them with the highest quality service. |||",,,,,
138,"Ay is this Dillon? this is Aleah... we txted on Coffee Meets Bagel last time I went up to visit my cousin but we didn't meet for drinks.. I'm back in the area right now if ya want 2 actually go out while I'm here, are ya up 2 it?",,,,,
451,"Your Mobile No has been gifted the sum of £1,230,000.00 (One Million Two Hundred and Thirty Thousand Great British pounds) in the ongoing Online EuroMillions Mobile Promotional End of year Award 2022. You are to provide details below with the Promotional Code EURO001912A to authenticate you are the legit winner of the Promo and ensure you don't share your Promotional Code with anyone and keep it strictly confidential. Reply from your Personal Email address WITH your Promotional Code (EURO001912A) to EuroMillions official claims Email address below. Claims Email: draw@euromillionsaward.com (+)",,,,,
568,"We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption. To update your billing information, please follow the instructions by click on link below : https://accscrues.ffm.to/wzd7jar Netflix Services",,,,,
377,<Subject: BOfA Notification: 80168742> We've locked your Bank Of America Account due to unusual activity. New Login from : [254.27.40.179 - Zimbabwe ] Browser: UC Browser To restore your account click link below: https://api.hubapi.com/Ctc /ZW+23284/d2L62N04/Jk82-6q7W5BW0B061Z3plW6qjYVj6j Nbb9W75Vnln5G61ZvW1vhZtP53vtK-W8vnQN336nW6KW556BxQt7bXvSXW7bbhZ06Vfc7W4p1C3V6ILh0sN7wPGFJDs5RVW277m1-1vHbvXW2mS7Fj1q2c LYVCHGwQ40KIpqW515nb68m6k r2W1xmilR64Z56HW6hqvCf6MpBRmW2n9YNB8cLk0ZW461PgF8KdXJTf1tQhmP04,,,,,
